EquipmentAssetNo,Status,StartedAt,EndedAt,StopCause,OrderNo,Sequence,Note
EQ-01,Setup,2026-09-01 20:30,2026-09-01 20:50,,SMP-SF-001,10,前段取り
EQ-01,Idle,2026-09-01 20:50,2026-09-01 21:00,,,,
EQ-01,Running,2026-09-01 21:00,2026-09-02 00:40,,SMP-SF-001,10,夜勤
EQ-01,Failure,2026-09-02 00:40,2026-09-02 01:10,主軸ベルトの滑り,,,ベルト張りを調整して復旧
EQ-01,Running,2026-09-02 01:10,2026-09-02 03:00,,SMP-SF-001,10,
EQ-02,Setup,2026-09-03 08:00,2026-09-03 08:10,,SMP-FG-001,10,
EQ-02,Running,2026-09-03 08:30,2026-09-03 11:30,,SMP-FG-001,10,
EQ-03,Running,2026-09-03 12:30,2026-09-03 13:00,,SMP-FG-001,20,
EQ-04,Running,2026-09-03 13:30,2026-09-03 14:00,,SMP-FG-001,30,
EQ-04,Stopped,2026-09-03 14:00,2026-09-03 14:20,シールヒーター温度上昇待ち,,,トラブル報告あり
